name,arm,distance,cue,layer,rank,token
Elias,direct,15,cue_b,13,1,"\""."
Elias,direct,15,cue_b,13,2,"!""."
Elias,direct,15,cue_b,13,3,}.
Elias,direct,15,cue_b,13,4,".\"""
Elias,direct,15,cue_b,13,5,!”.
Elias,direct,15,cue_b,13,6,"..."","
Elias,direct,15,cue_b,13,7,"""."
Elias,direct,15,cue_b,13,8,...\
Elias,direct,15,cue_b,13,9,**.
Elias,direct,15,cue_b,13,10,"!"","
Elias,direct,15,cue_b,13,11,.**
Elias,direct,15,cue_b,13,12,"\"","
Elias,direct,15,cue_b,13,13,".""},"
Elias,direct,15,cue_b,13,14,!...
Elias,direct,15,cue_b,13,15,!\
Elias,direct,15,cue_b,13,16,!.
Elias,direct,15,cue_b,13,17,...).
Elias,direct,15,cue_b,13,18,”.
Elias,direct,15,cue_b,13,19,"?""."
Elias,direct,15,cue_b,13,20,</strong>
Elias,direct,15,cue_b,14,1,"\""."
Elias,direct,15,cue_b,14,2,"!""."
Elias,direct,15,cue_b,14,3,}.
Elias,direct,15,cue_b,14,4,...\
Elias,direct,15,cue_b,14,5,!\
Elias,direct,15,cue_b,14,6,\}.
Elias,direct,15,cue_b,14,7,...).
Elias,direct,15,cue_b,14,8,!).
Elias,direct,15,cue_b,14,9, believed
Elias,direct,15,cue_b,14,10,"!"","
Elias,direct,15,cue_b,14,11,"..."","
Elias,direct,15,cue_b,14,12,"?""."
Elias,direct,15,cue_b,14,13,!”.
Elias,direct,15,cue_b,14,14, Fy
Elias,direct,15,cue_b,14,15,"\"","
Elias,direct,15,cue_b,14,16,".\"""
Elias,direct,15,cue_b,14,17,.}\
Elias,direct,15,cue_b,14,18, depicted
Elias,direct,15,cue_b,14,19,.\
Elias,direct,15,cue_b,14,20,}.\
Elias,direct,15,cue_b,15,1,"\""."
Elias,direct,15,cue_b,15,2, located
Elias,direct,15,cue_b,15,3, likely
Elias,direct,15,cue_b,15,4, believed
Elias,direct,15,cue_b,15,5, referenced
Elias,direct,15,cue_b,15,6, described
Elias,direct,15,cue_b,15,7,"?""."
Elias,direct,15,cue_b,15,8,}.
Elias,direct,15,cue_b,15,9, because
Elias,direct,15,cue_b,15,10, depicted
Elias,direct,15,cue_b,15,11, portrayed
Elias,direct,15,cue_b,15,12,".\"""
Elias,direct,15,cue_b,15,13,\}.
Elias,direct,15,cue_b,15,14, stated
Elias,direct,15,cue_b,15,15,"!""."
Elias,direct,15,cue_b,15,16,?\
Elias,direct,15,cue_b,15,17, specifically
Elias,direct,15,cue_b,15,18, noted
Elias,direct,15,cue_b,15,19,.\
Elias,direct,15,cue_b,15,20, identified
Elias,direct,15,cue_b,16,1,**.
Elias,direct,15,cue_b,16,2,"\""."
Elias,direct,15,cue_b,16,3,.**
Elias,direct,15,cue_b,16,4,...\
Elias,direct,15,cue_b,16,5, likely
Elias,direct,15,cue_b,16,6,...).
Elias,direct,15,cue_b,16,7,?\
Elias,direct,15,cue_b,16,8,...?
Elias,direct,15,cue_b,16,9,.....
Elias,direct,15,cue_b,16,10,"?""."
Elias,direct,15,cue_b,16,11, believed
Elias,direct,15,cue_b,16,12,}.
Elias,direct,15,cue_b,16,13,\}.
Elias,direct,15,cue_b,16,14,.\
Elias,direct,15,cue_b,16,15, ____
Elias,direct,15,cue_b,16,16,....
Elias,direct,15,cue_b,16,17,".\"""
Elias,direct,15,cue_b,16,18,__.
Elias,direct,15,cue_b,16,19, ______
Elias,direct,15,cue_b,16,20,?).
Elias,direct,15,cue_b,17,1, likely
Elias,direct,15,cue_b,17,2, probably
Elias,direct,15,cue_b,17,3, because
Elias,direct,15,cue_b,17,4, presumably
Elias,direct,15,cue_b,17,5, tasked
Elias,direct,15,cue_b,17,6, located
Elias,direct,15,cue_b,17,7, believed
Elias,direct,15,cue_b,17,8, being
Elias,direct,15,cue_b,17,9, transportation
Elias,direct,15,cue_b,17,10, people
Elias,direct,15,cue_b,17,11, someone
Elias,direct,15,cue_b,17,12, portrayed
Elias,direct,15,cue_b,17,13, humans
Elias,direct,15,cue_b,17,14, evidently
Elias,direct,15,cue_b,17,15, described
Elias,direct,15,cue_b,17,16, traveling
Elias,direct,15,cue_b,17,17, logistics
Elias,direct,15,cue_b,17,18, apparently
Elias,direct,15,cue_b,17,19, depicted
Elias,direct,15,cue_b,17,20, travel
Elias,direct,15,cue_b,18,1, likely
Elias,direct,15,cue_b,18,2, probably
Elias,direct,15,cue_b,18,3, because
Elias,direct,15,cue_b,18,4, someone
Elias,direct,15,cue_b,18,5, presumably
Elias,direct,15,cue_b,18,6, located
Elias,direct,15,cue_b,18,7, evidently
Elias,direct,15,cue_b,18,8, obviously
Elias,direct,15,cue_b,18,9, people
